ID,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,price,area,bedrooms
0,2,3,yes,no,no,no,yes,2,yes,furnished,13300000,7420,4
1,4,4,yes,no,no,no,yes,3,no,furnished,12250000,8960,4
2,2,2,yes,no,yes,no,no,2,yes,semi-furnished,12250000,9960,3
3,2,2,yes,no,yes,no,yes,3,yes,furnished,12215000,7500,4
4,1,2,yes,yes,yes,no,yes,2,no,furnished,11410000,7420,4
5,3,1,yes,no,yes,no,yes,2,yes,semi-furnished,10850000,7500,3
6,3,4,yes,no,no,no,yes,2,yes,semi-furnished,10150000,8580,4
7,3,2,yes,no,no,no,no,0,no,unfurnished,10150000,16200,5
8,1,2,yes,yes,yes,no,yes,2,yes,furnished,9870000,8100,4
9,2,4,yes,yes,no,no,yes,1,yes,unfurnished,9800000,5750,3
10,1,2,yes,no,yes,no,yes,2,yes,furnished,9800000,13200,3
11,3,2,yes,yes,yes,yes,no,2,no,semi-furnished,9681000,6000,4
12,2,2,yes,no,no,no,yes,1,yes,semi-furnished,9310000,6550,4
13,2,2,yes,no,no,yes,no,2,no,furnished,9240000,3500,4
14,2,2,yes,no,no,no,no,0,yes,semi-furnished,9240000,7800,3
15,1,2,yes,no,yes,no,no,2,no,semi-furnished,9100000,6000,4
16,2,2,yes,yes,yes,no,yes,1,yes,unfurnished,9100000,6600,4
17,2,4,yes,no,no,no,yes,2,no,furnished,8960000,8500,3
18,2,2,yes,yes,no,no,yes,2,no,furnished,8890000,4600,3
19,2,2,yes,no,no,no,yes,1,yes,semi-furnished,8855000,6420,3
20,1,2,yes,no,yes,yes,no,2,no,semi-furnished,8750000,4320,3
21,2,1,yes,yes,yes,no,yes,2,no,unfurnished,8680000,7155,3
22,1,1,yes,yes,yes,no,yes,1,no,furnished,8645000,8050,3
23,2,2,yes,yes,yes,no,yes,1,no,furnished,8645000,4560,3
24,2,2,yes,no,no,no,yes,2,no,furnished,8575000,8800,3
25,2,2,yes,yes,yes,no,yes,2,yes,furnished,8540000,6540,4
26,2,4,yes,yes,yes,no,yes,0,yes,semi-furnished,8463000,6000,3
27,1,1,yes,no,no,no,no,1,no,semi-furnished,8400000,8875,3
28,2,2,yes,no,yes,yes,no,2,no,unfurnished,8400000,7950,5
29,2,2,yes,no,yes,no,yes,1,yes,semi-furnished,8400000,5500,4
30,2,4,yes,no,no,no,yes,2,no,unfurnished,8400000,7475,3
31,1,4,yes,no,no,no,yes,2,no,semi-furnished,8400000,7000,3
32,2,2,yes,no,no,no,yes,1,yes,furnished,8295000,4880,4
33,3,2,yes,yes,yes,no,no,1,no,unfurnished,8190000,5960,3
34,1,2,yes,yes,yes,no,yes,1,no,furnished,8120000,6840,5
35,2,4,yes,no,no,no,yes,2,no,furnished,8080940,7000,3
36,2,3,yes,no,no,yes,no,1,yes,furnished,8043000,7482,3
37,2,4,yes,no,no,no,yes,2,no,furnished,7980000,9000,4
38,1,4,yes,yes,no,no,yes,2,no,unfurnished,7962500,6000,3
39,2,4,yes,no,no,no,yes,1,no,semi-furnished,7910000,6000,4
40,1,2,yes,no,yes,no,yes,0,yes,furnished,7875000,6550,3
41,2,4,yes,no,no,no,yes,0,yes,furnished,7840000,6360,3
42,2,4,yes,no,no,no,yes,2,no,unfurnished,7700000,6480,3
43,2,4,yes,no,no,no,no,2,no,semi-furnished,7700000,6000,4
44,2,4,yes,no,no,no,yes,1,no,furnished,7560000,6000,4
45,2,3,yes,no,no,no,yes,0,no,semi-furnished,7560000,6000,3
46,2,4,yes,no,no,no,yes,1,no,furnished,900,6000,3
47,1,4,yes,no,no,no,yes,3,yes,furnished,7490000,6600,3
48,2,2,yes,no,yes,no,no,1,no,unfurnished,7455000,4300,3
49,2,1,yes,yes,yes,no,yes,0,yes,semi-furnished,7420000,7440,3
50,2,4,yes,no,no,no,no,1,yes,unfurnished,7420000,7440,3
51,1,4,yes,no,no,no,yes,1,no,unfurnished,7420000,6325,3
52,2,4,yes,yes,no,no,yes,1,no,furnished,7350000,6000,4
53,2,4,yes,no,no,no,yes,2,no,semi-furnished,7350000,5150,3
54,2,2,yes,yes,no,no,yes,1,no,semi-furnished,7350000,6000,3
55,1,2,yes,no,no,no,yes,1,no,unfurnished,7350000,6000,3
